und_umls_cuii,ind_umls_pt,ind_umls_sem_typ1
C0031873,Pica Disease,Mental or Behavioral Dysfunction
C0018824,Heart Valve Disease,Disease or Syndrome
C0003079,Anisocoria,Finding
C0014390,Entropion,Disease or Syndrome
C0019937,Ocular-Ophthalmoplegia; Sympathetic,Disease or Syndrome
C0029172,Oral Submucous Fibrosis,Disease or Syndrome
C0236792,Asperger Syndrome,Disease or Syndrome
C0004698,Balkan Nephropathy,Disease or Syndrome
C0206667,Adrenal Cortical Adenoma,Neoplastic Process
C0006079,Bowen'S Disease,Neoplastic Process
C0016510,Foot Diseases,Disease or Syndrome
C0024314,Lymphoproliferative Disorders,Neoplastic Process
C0020097,Htlv-I Infections,Disease or Syndrome
C3150943,Long Qt Syndrome 2,Disease or Syndrome
C0345967,Malignant Mesothelioma,Neoplastic Process
C0220633,Uveal Melanoma,Neoplastic Process
C0206608,Flavivirus Infections,Disease or Syndrome
C0242723,Parasitemia,Disease or Syndrome
C0238015,Autonomic Dysreflexia,Disease or Syndrome
C0008629,Chromosome Fragility,Cell or Molecular Dysfunction
C0032229,Pleural Neoplasms,Neoplastic Process
C0003949,Asbestosis,Disease or Syndrome
C0032226,Pleural Diseases,Disease or Syndrome
C0007959,Charcot-Marie-Tooth Disease,Disease or Syndrome
C0271073,Eales Disease,Disease or Syndrome
C1840264,Immune Suppression,Disease or Syndrome
C0002064,Alkalosis; Respiratory,Pathologic Function
C0149793,Amaurosis Fugax,Sign or Symptom
C0003152,Anterior Compartment Syndrome,Disease or Syndrome
C0085278,Antiphospholipid Syndrome,Disease or Syndrome
C0003507,Aortic Valve Stenosis,Disease or Syndrome
C1319853,Asthma; Aspirin-Induced,Finding
C0005758,Bulla,Pathologic Function
C0235833,Congenital Diaphragmatic Hernia,Congenital Abnormality
C1876185,Dysgnathia Complex,Disease or Syndrome
C0014804,Erythromelalgia,Disease or Syndrome
C0272325,Factor 8 Deficiency; Acquired,Disease or Syndrome
C0017128,Gastric Fistula,Anatomical Abnormality
C0018926,Hematemesis,Sign or Symptom
C0238154,Hematoma; Epidural; Cranial,Injury or Poisoning
C0749095,Hematoma; Subdural; Chronic,Pathologic Function
C0019048,Hemoglobinuria,Disease or Syndrome
C0149707,Hemospermia,Finding
C0600502,Vascular Hemostatic Disorders,Disease or Syndrome
C0034880,Hyperacusis,Sign or Symptom
C0340274,Hypertension Induced By Pregnancy,Pathologic Function
C0021818,Intervertebral Disk Displacement,Disease or Syndrome
C0273058,Traumatic Intracranial Hemorrhage,Injury or Poisoning
C0022521,Kartagener Syndrome,Congenital Abnormality
C0043019,Lateral Medullary Syndrome,Disease or Syndrome
C0221013,Mastocytosis; Systemic,Disease or Syndrome
C0025222,Melena,Pathologic Function
C0154723,Migraine With Aura,Disease or Syndrome
C0026654,Moyamoya Disease,Disease or Syndrome
C2931193,Prinzmetal'S Variant Angina,Disease or Syndrome
C0039445,Hereditary Hemorrhagic Telangiectasia,Disease or Syndrome
C0041207,Truncus Arteriosus; Persistent,Congenital Abnormality
C0751908,Vestibular Neuronitis,Disease or Syndrome
C0949570,Wheat Hypersensitivity,Disease or Syndrome
C0016436,Folliculitis,Disease or Syndrome
C0162849,Lichen Nitidus,Disease or Syndrome
C0701818,Choledocholithiasis,Disease or Syndrome
C0019699,Hiv Seropositivity,Finding
C0473527,Hypoalphalipoproteinemias,Finding
C0024796,Marfan Syndrome,Disease or Syndrome
C2940786,Thyroid Hormone Resistance Syndrome,Disease or Syndrome
C0242707,Ventricular Dysfunction; Right,Pathologic Function
C0600519,Ventricular Remodeling,Organ or Tissue Function
C0162871,Aortic Aneurysm; Abdominal,Disease or Syndrome
C0751336,Distal Muscular Dystrophies,Disease or Syndrome
C0020623,Hypolipoproteinemias,Disease or Syndrome
C0162670,Mitochondrial Myopathies,Disease or Syndrome
C0041105,Trismus,Disease or Syndrome
C0338591,Amnesia; Transient Global,Mental or Behavioral Dysfunction
C0003813,Sinus Arrhythmia,Finding
C0018814,Heart Rupture; Post-Infarction,Disease or Syndrome
C0027092,Myopia,Disease or Syndrome
C0042170,Uveomeningoencephalitic Syndrome,Disease or Syndrome
C0152179,Vagus Nerve Diseases,Disease or Syndrome
C0020877,Ileitis,Disease or Syndrome
C0001614,Adrenal Cortex Diseases,Disease or Syndrome
C0002902,Anencephaly,Congenital Abnormality
C0349639,Juvenile Myelomonocytic Leukemia,Neoplastic Process
C0026499,Monosomy,Congenital Abnormality
C0740302,5Q-Syndrome,Disease or Syndrome
C0001420,Papillary Adenocarcinoma,Neoplastic Process
C0005396,Bile Duct Neoplasms,Neoplastic Process
C0282609,Bone Marrow Neoplasms,Neoplastic Process
C2931713,Chromosome 17 Deletion,Cell or Molecular Dysfunction
C1513483,Chromosome 7; Monosomy,Cell or Molecular Dysfunction
C0012655,Disease Susceptibility,Clinical Attribute
C0950123,Genetic Diseases; Inborn,Disease or Syndrome
C2717905,Hereditary Angioedema Types I And Ii,Congenital Abnormality
C0242287,Isaacs Syndrome,Disease or Syndrome
C0206702,Klatskin'S Tumor,Neoplastic Process
C0085183,Neoplasms; Second Primary,Neoplastic Process
C3501848,Nephrosis; Congenital,Disease or Syndrome
C0030327,Panniculitis; Lupus Erythematosus,Disease or Syndrome
C0085106,Familial Benign Pemphigus,Disease or Syndrome
C0035317,Retinal Hemorrhage,Pathologic Function
C1258104,Diffuse Scleroderma,Disease or Syndrome
C0149722,Hutchinson'S Melanotic Freckle,Neoplastic Process
C0014740,Erythema Chronicum Migrans,Disease or Syndrome
C2936894,Erythema Migrans,Disease or Syndrome
C1258225,Moraxellaceae Infections,Disease or Syndrome
C0041472,Endemic Flea-Borne Typhus,Disease or Syndrome
C0023429,Leukemia P388,Neoplastic Process
C0011103,Decerebrate State,Pathologic Function
C0018991,Hemiplegia,Sign or Symptom
C0085084,Motor Neuron Disease,Disease or Syndrome
C0085292,Stiff-Person Syndrome,Disease or Syndrome
C0021334,Infectious Bovine Rhinotracheitis,Disease or Syndrome
C0020981,Angioimmunoblastic Lymphadenopathy,Neoplastic Process
C0206180,Ki-1+ Anaplastic Large Cell Lymphoma,Neoplastic Process
C0242699,Bone Demineralization; Pathologic,Disease or Syndrome
C0035328,Retinal Vein Occlusion,Disease or Syndrome
C0003504,Aortic Valve Insufficiency,Disease or Syndrome
C0026266,Mitral Valve Insufficiency,Disease or Syndrome
C0003119,Anophthalmos,Congenital Abnormality
C0002418,Amblyopia,Finding
C0000887,Acantholysis,Pathologic Function
C0233795,Amnesia; Anterograde,Mental or Behavioral Dysfunction
C0745744,End Stage Liver Disease,Disease or Syndrome
C0018206,Granulosa Cell Tumor,Neoplastic Process
C0040116,Thymus Neoplasms,Neoplastic Process
C0003463,Anus Neoplasms,Neoplastic Process
C0031347,Pharyngeal Neoplasms,Neoplastic Process
C0025312,Meningomyelocele,Congenital Abnormality
C0014378,Enterovirus Infections,Disease or Syndrome
C0393593,Dystonia Disorders,Disease or Syndrome
C0014858,Esophageal Motility Disorders,Disease or Syndrome
C0023051,Laryngeal Diseases,Disease or Syndrome
C0038828,Superior Mesenteric Artery Syndrome,Disease or Syndrome
C0003537,Aphasia,Mental or Behavioral Dysfunction
C0035358,Retroperitoneal Neoplasms,Neoplastic Process
C0206664,Teratocarcinoma,Neoplastic Process
C0021847,Intestinal Pseudo-Obstruction,Disease or Syndrome
C0020579,Hypervitaminosis A,Disease or Syndrome
C0848558,Hypospadias,Congenital Abnormality
C0015424,Eyelid Neoplasms,Neoplastic Process
C0016719,Friedreich Ataxia,Disease or Syndrome
C0023529,Leukomalacia; Periventricular,Disease or Syndrome
C0040213,Tietze'S Syndrome,Disease or Syndrome
C0236811,Chronobiology Disorders,Disease or Syndrome
C0011859,Lipoatrophic Diabetes Mellitus,Disease or Syndrome
C1257958,Glucose Metabolism Disorders,Disease or Syndrome
C0020474,Hyperlipidemia; Familial Combined,Disease or Syndrome
C0037089,Signs And Symptoms; Digestive,Sign or Symptom
C0037231,Sjogren-Larsson Syndrome,Congenital Abnormality
C0342784,Pearson'S Marrow-Pancreas Syndrome,Disease or Syndrome
C0004763,Barrett Esophagus,Disease or Syndrome
C0009440,Common Bile Duct Diseases,Disease or Syndrome
C0022353,Neonatal Jaundice,Sign or Symptom
C0006272,Bronchiolitis Obliterans,Disease or Syndrome
C1843807,Basal Ganglia Disease; Biotin-Responsive,Disease or Syndrome
C0007120,Bronchioloalveolar Adenocarcinoma,Neoplastic Process
C1299624,Postural Orthostatic Tachycardia Syndrome,Disease or Syndrome
C0010633,Cystadenoma,Neoplastic Process
C0010709,Cyst,Disease or Syndrome
C0029927,Ovarian Cysts,Disease or Syndrome
C0032002,Pituitary Diseases,Disease or Syndrome
C0041974,Urethral Stricture,Anatomical Abnormality
C0160680,Carotid Artery Injuries,Injury or Poisoning
C0206659,Embryonal Carcinoma,Neoplastic Process
C0013377,Dysgerminoma,Neoplastic Process
C0018777,Conductive Hearing Loss,Disease or Syndrome
C1266158,Nonseminomatous Germ Cell Tumor,Neoplastic Process
C0206681,Adenocarcinoma; Clear Cell,Neoplastic Process
C0042162,Uveal Neoplasms,Neoplastic Process
C0151779,Cutaneous Melanoma,Neoplastic Process
C0008487,Chordoma,Neoplastic Process
C0023484,Leukemia; Plasma Cell,Neoplastic Process
C2363142,T-Cell Prolymphocytic Leukemia,Neoplastic Process
C0024282,Lymphocytosis,Disease or Syndrome
C1292753,Primary Effusion Lymphoma,Neoplastic Process
C0032131,Plasmacytoma,Neoplastic Process
C0206655,Alveolar Rhabdomyosarcoma,Neoplastic Process
C0206656,Rhabdomyosarcoma; Embryonal,Neoplastic Process
C0036659,Sensation Disorders,Disease or Syndrome
C0010246,Coxsackievirus Infections,Disease or Syndrome
C2717760,Alien Hand Syndrome,Mental or Behavioral Dysfunction
C0278152,Hemifacial Spasm,Finding
C0015310,Exotropia,Disease or Syndrome
C0339143,Thyroid Associated Opthalmopathies,Disease or Syndrome
C0007774,Cerebral Arterial Diseases,Disease or Syndrome
C0007814,Cerebrospinal Fluid Otorrhea,Disease or Syndrome
C0007815,Cerebrospinal Fluid Rhinorrhea,Disease or Syndrome
C0014008,Empty Sella Syndrome,Disease or Syndrome
C0346302,Growth Hormone-Secreting Pituitary Adenoma,Neoplastic Process
C0018979,Hemianopsia,Finding
C0019270,Hernia,Anatomical Abnormality
C0022927,Lactation Disorders,Disease or Syndrome
C0235660,Galactorrhea Not Associated With Childbirth,Disease or Syndrome
C0031048,Pericarditis; Constrictive,Disease or Syndrome
C0032001,Pituitary Apoplexy,Disease or Syndrome
C0032268,Pneumocephalus,Disease or Syndrome
C0034040,Puerperal Disorders,Disease or Syndrome
C0751771,Sleep Bruxism,Disease or Syndrome
C0525046,Schizophrenia And Disorders With Psychotic Features,Mental or Behavioral Dysfunction
C0041954,Ureteral Diseases,Disease or Syndrome
C0027429,Nasal Obstruction Present Finding,Finding
C0700251,Brachial Plexus Neuropathies,Disease or Syndrome
C0149756,Fasciitis; Plantar,Disease or Syndrome
C0025287,Meningism,Sign or Symptom
C0027073,Myofascial Pain Syndromes,Disease or Syndrome
C0027873,Neuromyelitis Optica,Disease or Syndrome
C0032586,Polyradiculopathy,Disease or Syndrome
C0037316,Sleep Deprivation,Finding
C0152177,Trigeminal Nerve Diseases,Disease or Syndrome
C0004044,Asphyxia,Pathologic Function
C0027609,Neonatal Abstinence Syndrome,Disease or Syndrome
C0080179,Spinal Fractures,Injury or Poisoning
C1861063,Tobacco Addiction; Susceptibility To (Finding),Finding
C0333980,Focal Nodular Hyperplasia,Disease or Syndrome
C1292772,Philadelphia-Negative Myelogenous Leukemia,Neoplastic Process
C0026010,Microphthalmos,Congenital Abnormality
C0011407,Dental Pulp Necrosis,Disease or Syndrome
C0030436,Parakeratosis,Disease or Syndrome
C1399352,Paroxysmal Hemicrania,Disease or Syndrome
C0006635,Cadmium Poisoning,Injury or Poisoning
C0027612,Congenital; Hereditary; And Neonatal Diseases And Abnormalities,Congenital Abnormality
C0178282,Hernia Of Abdominal Cavity,Anatomical Abnormality
C1306503,Congenital Exomphalos,Congenital Abnormality
C0751937,Olfactory Nerve Diseases,Disease or Syndrome
C0265554,Ectrodactyly,Congenital Abnormality
C0039075,Syndactyly,Congenital Abnormality
C0752308,Hypoxia-Ischemia; Brain,Disease or Syndrome
C0751188,Post-Dural Puncture Headaches,Sign or Symptom
C2931367,Thyroid Cancer; Follicular,Neoplastic Process
C1260873,Aortic Valve Disorder,Disease or Syndrome
C0005942,Bone Diseases; Endocrine,Disease or Syndrome
C0006663,Calcinosis,Disease or Syndrome
C0006705,Calcium Metabolism Disorders,Disease or Syndrome
C0030517,Parathyroid Diseases,Disease or Syndrome
C2931329,Chromosome 22; Microdeletion 22 Q11,Cell or Molecular Dysfunction
C0034103,Pulpitis,Disease or Syndrome
C0036457,Scrapie,Disease or Syndrome
C0376480,Gingival Overgrowth,Finding
C0033586,Prosthesis Failure,Phenomenon or Process
C0023524,Leukoencephalopathy; Progressive Multifocal,Disease or Syndrome
C0006430,Burning Mouth Syndrome,Disease or Syndrome
C0026975,Myelitis,Disease or Syndrome
C0003614,Appendiceal Neoplasms,Neoplastic Process
C0005426,Biliary Tract Neoplasm,Neoplastic Process
C0149697,Foot Injuries,Injury or Poisoning
C0018571,Hand Injuries,Injury or Poisoning
C0549410,Palmar-Plantar Erythrodysesthesia Syndrome,Disease or Syndrome
C0027667,Neoplasms; Unknown Primary,Neoplastic Process
C0030578,Paronychia Inflammation,Disease or Syndrome
C0268448,Primary Hypomagnesemia (Disorder),Disease or Syndrome
C0023052,Laryngeal Edema,Pathologic Function
C1850383,Neuropathy; Painful,Disease or Syndrome
C0039494,Temporomandibular Joint Disorders,Disease or Syndrome
C0282607,Vascular Neoplasms,Neoplastic Process
C0001314,Acute Disease,Disease or Syndrome
C0877055,Acute Generalized Exanthematous Pustulosis,Disease or Syndrome
C0003635,Apraxias,Mental or Behavioral Dysfunction
C0003910,Articulation Disorders,Mental or Behavioral Dysfunction
C0004310,Auditory Perceptual Disorders,Mental or Behavioral Dysfunction
C0007177,Cardiac Tamponade,Disease or Syndrome
C0687720,Central Diabetes Insipidus,Disease or Syndrome
C0014548,Epilepsy; Generalized,Disease or Syndrome
C0376532,Epilepsy; Rolandic,Disease or Syndrome
C0015467,Facial Neuralgia,Disease or Syndrome
C0020534,Orbital Separation Excessive,Congenital Abnormality
C0007772,Intracranial Arteriovenous Malformation,Congenital Abnormality
C0023015,Language Disorders,Mental or Behavioral Dysfunction
C0023501,Leukemoid Reaction,Disease or Syndrome
C0025990,Micrognathism,Congenital Abnormality
C0026633,Mouth Abnormalities,Congenital Abnormality
C0345335,Multicystic Dysplastic Kidney,Congenital Abnormality
C0027126,Myotonic Dystrophy,Disease or Syndrome
C0030491,Parapsoriasis,Disease or Syndrome
C0221269,Pseudolymphoma,Neoplastic Process
C0043049,Water Intoxication,Disease or Syndrome
C0034882,Rectal Diseases,Disease or Syndrome
C0242669,Placenta; Retained,Disease or Syndrome
C0406645,Amyopathic Dermatomyositis,Disease or Syndrome
C0403529,Anti-Glomerular Basement Membrane Disease,Disease or Syndrome
C0008297,Choanal Atresia,Congenital Abnormality
C0015190,Euthyroid Sick Syndromes,Disease or Syndrome
C0162770,Right Ventricular Hypertrophy,Disease or Syndrome
C1852271,Auditory Neuropathy,Disease or Syndrome
C0206687,Carcinoma; Endometrioid,Neoplastic Process
C1851124,Desmoid Disease; Hereditary,Disease or Syndrome
C0014591,Epistaxis,Pathologic Function
C0014866,Esophageal Stenosis,Anatomical Abnormality
C0206093,Neuroectodermal Tumors,Neoplastic Process
C0038874,Supratentorial Neoplasms,Neoplastic Process
C0042143,Uterine Rupture,Disease or Syndrome
C0158683,Polycystic Liver Disease,Congenital Abnormality
C2930835,Edema Of The Optic Disc,Disease or Syndrome
C0023420,Leukemia L1210,Neoplastic Process
C1955869,Malformations Of Cortical Development,Disease or Syndrome
C0206715,Neoplasms; Neuroepithelial,Neoplastic Process
C0027809,Neurilemmoma,Neoplastic Process
C0028945,Oligodendroglioma,Neoplastic Process
C0034091,Pulmonary Veno-Occlusive Disease (Disorder),Disease or Syndrome
C0035333,Retinitis,Disease or Syndrome
C0270733,Striatonigral Degeneration,Disease or Syndrome
C0232347,No-Reflow Phenomenon,Finding
C0034561,Radiodermatitis,Injury or Poisoning
C0020732,Iatrogenic Disease,Disease or Syndrome
C0684337,Ewings Sarcoma-Primitive Neuroectodermal Tumor (Pnet),Neoplastic Process
C0162830,Dermatitis; Phototoxic,Disease or Syndrome
C0032241,Pleuropneumonia,Disease or Syndrome
C0036130,Salpingitis,Disease or Syndrome
C0006015,Bordetella Infections,Disease or Syndrome
C0004158,Athetosis,Sign or Symptom
C0006035,Borrelia Infections,Disease or Syndrome
C2875024,Cerebral Ventriculitis,Disease or Syndrome
C0023885,Liver Abscess,Disease or Syndrome
C0752235,Lyme Neuroborreliosis,Disease or Syndrome
C0038826,Superinfection,Disease or Syndrome
C0009405,Hereditary Nonpolyposis Colorectal Neoplasms,Neoplastic Process
C1257915,Intestinal Polyposis,Disease or Syndrome
C0023532,Leukoplakia; Oral,Neoplastic Process
C0279628,Adenocarcinoma Of Esophagus,Neoplastic Process
C0020627,Hypopharyngeal Neoplasms,Neoplastic Process
C0024958,Maxillary Sinus Neoplasms,Neoplastic Process
C0009377,Colonic Pseudo-Obstruction,Disease or Syndrome
C0019050,Hemoglobinuria; Paroxysmal,Disease or Syndrome
C0022744,Knee Injuries,Injury or Poisoning
C0029420,Osteochondritis,Disease or Syndrome
C0085511,Tooth Demineralization,Disease or Syndrome
C0017675,Glossitis,Disease or Syndrome
C0030445,Paralysis; Obstetric,Injury or Poisoning
C0271051,Macular Retinal Edema,Disease or Syndrome
C0162855,Mucinoses,Disease or Syndrome
C2931230,Vacuolar Myopathy,Disease or Syndrome
C0267941,Pancreatitis; Acute Necrotizing,Disease or Syndrome
C0026884,Mutism,Disease or Syndrome
C0036344,Schizophrenia; Catatonic,Mental or Behavioral Dysfunction
C0038506,Stuttering,Mental or Behavioral Dysfunction
C1263960,Diabetes With Coma (Disorder),Disease or Syndrome
C0282550,Persian Gulf Syndrome,Disease or Syndrome
C0036868,Sex Chromosome Aberrations,Congenital Abnormality
C0008087,Child Nutrition Disorders,Disease or Syndrome
C2931843,Chondrodysplasia Punctata 2; X-Linked Dominant,Disease or Syndrome
C2931909,High Serum Cholesterol; Familial,Disease or Syndrome
C0037917,Spina Bifida Cystica,Congenital Abnormality
C0270327,Bedwetting,Sign or Symptom
C0021833,Intestinal Fistula,Anatomical Abnormality
C0271901,Microcytic Hypochromic Anemia (Disorder),Disease or Syndrome
C0949804,Polyomavirus Infections,Disease or Syndrome
C0027662,Multiple Endocrine Neoplasia,Neoplastic Process
C0376670,Pancreatitis; Alcoholic,Disease or Syndrome
C0030925,Peptic Ulcer Perforation,Disease or Syndrome
C0221002,Hyperparathyroidism; Primary,Disease or Syndrome
C0036114,Salmonella Food Poisoning,Injury or Poisoning
C0029400,Osteitis,Disease or Syndrome
C0034884,Rectal Fistula,Anatomical Abnormality
C0041330,Tuberculosis; Spinal,Disease or Syndrome
C0343387,Enterocolitis; Neutropenic,Disease or Syndrome
C0015558,Fallopian Tube Neoplasms,Neoplastic Process
C0017416,Genital Neoplasms; Female,Neoplastic Process
C2750088,Hearing Loss; Cisplatin-Induced; Susceptibility To,Finding
C0206624,Hepatoblastoma,Neoplastic Process
C0019613,Histiocytic Disorders; Malignant,Neoplastic Process
C0024232,Lymphatic Metastasis,Neoplastic Process
C0025064,Mediastinitis,Disease or Syndrome
C0525040,Mental Disorders Diagnosed In Childhood,Mental or Behavioral Dysfunction
C0030422,Extra-Adrenal Paraganglioma,Neoplastic Process
C0398625,Protein C Deficiency,Disease or Syndrome
C2063389,Retroperitoneal Liposarcoma,Neoplastic Process
C0039101,Synovial Sarcoma,Neoplastic Process
C0039538,Teratoma,Neoplastic Process
C0041971,Urethral Neoplasms,Neoplastic Process
C0001546,Adjustment Disorders,Mental or Behavioral Dysfunction
C0005887,Body Dysmorphic Disorders,Mental or Behavioral Dysfunction
C0001815,Primary Myelofibrosis,Neoplastic Process
C2931322,T-Lymphocytopenia,Disease or Syndrome
C0221036,Acrodermatitis Enteropathica,Disease or Syndrome
C0042994,Vulvar Diseases,Disease or Syndrome
C1562585,Leprosy; Multibacillary,Disease or Syndrome
C0037998,Splenic Infarction,Disease or Syndrome
C0206647,Dermatofibrosarcoma,Neoplastic Process
C0030794,Pelvic Pain,Sign or Symptom
C0003564,Aphonia,Sign or Symptom
C0037320,Night Terrors,Mental or Behavioral Dysfunction
C0007282,Carotid Stenosis,Disease or Syndrome
C0596170,Binge Eating Disorder,Mental or Behavioral Dysfunction
C0006012,Borderline Personality Disorder,Mental or Behavioral Dysfunction
C0520459,Enterocolitis; Necrotizing,Disease or Syndrome
C0752347,Lewy Body Disease,Disease or Syndrome
C0684219,Myokymia,Sign or Symptom
C0030489,Paraproteinemias,Disease or Syndrome
C0005659,Bites And Stings,Injury or Poisoning
C0751815,Carotid Artery; Internal; Dissection,Disease or Syndrome
C0000727,Abdomen; Acute,Sign or Symptom
C0000832,Abruptio Placentae,Pathologic Function
C0078888,Accelerated Idioventricular Rhythm,Disease or Syndrome
C0001849,Aids Dementia Complex,Disease or Syndrome
C0221069,Anterior Spinal Artery Syndrome,Disease or Syndrome
C0003431,Antisocial Personality Disorder,Mental or Behavioral Dysfunction
C0003496,Aortic Rupture,Disease or Syndrome
C0266172,Atresia Of Small Intestine,Congenital Abnormality
C0751739,Basal Ganglia Cerebrovascular Disease,Disease or Syndrome
C0472377,Basal Ganglia Hemorrhage,Pathologic Function
C0014068,Encephalomalacia,Disease or Syndrome
C0014059,Encephalomyelitis; Acute Disseminated,Disease or Syndrome
C0014100,Endarteritis,Disease or Syndrome
C0015459,Facial Injuries,Injury or Poisoning
C0015930,Fetal Distress,Disease or Syndrome
C0016052,Fibromuscular Dysplasia,Disease or Syndrome
C0016124,Finger Injuries,Injury or Poisoning
C0265706,Gastroschisis,Congenital Abnormality
C0017572,Gingival Recession,Disease or Syndrome
C0018193,Granuloma; Foreign-Body,Pathologic Function
C0018197,Granuloma; Lethal Midline,Neoplastic Process
C0011057,Hearing Loss; Sudden,Finding
C0749098,Hematoma; Subdural; Acute,Pathologic Function
C0019065,Hemoperitoneum,Finding
C0020225,Hydranencephaly,Congenital Abnormality
C0162870,Iliac Aneurysm,Anatomical Abnormality
C0752132,Infarction; Posterior Cerebral Artery,Disease or Syndrome
C0752138,Intracranial Arterial Diseases,Disease or Syndrome
C0021933,Intussusception,Disease or Syndrome
C0432126,Kleeblattschaedel Syndrome,Disease or Syndrome
C0022906,Lacrimal Duct Obstruction,Anatomical Abnormality
C0023014,Language Development Disorders,Mental or Behavioral Dysfunction
C0023760,Lip Diseases,Disease or Syndrome
C0025048,Meconium Aspiration Syndrome,Pathologic Function
C0025062,Mediastinal Emphysema,Pathologic Function
C2931476,Mesenteric Vascular Disease,Disease or Syndrome
C0025472,Mesenteric Vascular Occlusion,Disease or Syndrome
C0221060,Mobius Syndrome,Congenital Abnormality
C0494491,Mononeuropathies,Disease or Syndrome
C0206643,Neoplasms; Fibrous Tissue,Neoplastic Process
C0028431,Nose Deformities; Acquired,Acquired Abnormality
C0079943,Oral Fistula,Anatomical Abnormality
C0149507,Orbital Cellulitis,Disease or Syndrome
C0032044,Placenta Accreta,Pathologic Function
C0032319,Pneumopericardium,Disease or Syndrome
C0032357,Poland Syndrome,Congenital Abnormality
C0032461,Polycythemia,Disease or Syndrome
C0034074,Pulmonary Infarction,Disease or Syndrome
C0751741,Putaminal Hemorrhage,Pathologic Function
C0525043,Reactive Attachment Disorder,Mental or Behavioral Dysfunction
C0037033,Sialometaplasia; Necrotizing,Disease or Syndrome
C0038368,Stomatognathic Diseases,Disease or Syndrome
C0038536,Subcutaneous Emphysema,Pathologic Function
C0038644,Sudden Infant Death Syndrome,Disease or Syndrome
C0039131,Syphilis; Congenital,Disease or Syndrome
C0039496,Temporomandibular Joint Dysfunction Syndrome,Disease or Syndrome
C0040436,Tooth Erosion,Disease or Syndrome
C0040953,Trichotillomania,Mental or Behavioral Dysfunction
C0749794,Upper Extremity Deformities; Congenital,Congenital Abnormality
C0013069,Double Outlet Right Ventricle,Congenital Abnormality
C0037315,Sleep Apnea Syndromes,Disease or Syndrome
C0003550,Aphasia; Broca,Mental or Behavioral Dysfunction
C0013080,Down Syndrome,Congenital Abnormality
C0020678,Hypotrichosis,Disease or Syndrome
C0085077,Sweet Syndrome,Disease or Syndrome
C0003886,Arthrogryposis,Congenital Abnormality
C0025874,Metrorrhagia,Pathologic Function
C0027804,Neurasthenia,Mental or Behavioral Dysfunction
C2717899,Upper Extremity Deep Vein Thrombosis,Pathologic Function
C0600433,Activated Protein C Resistance,Disease or Syndrome
C0270639,Lateral Sinus Thrombosis,Disease or Syndrome
C1619692,Nephrogenic Fibrosing Dermopathy,Disease or Syndrome
C1859088,Copper Toxicosis; Idiopathic,Disease or Syndrome
C0268237,Cytochrome-C Oxidase Deficiency,Disease or Syndrome
C0019188,Hepatitis; Animal,Disease or Syndrome
C0022716,Menkes Kinky Hair Syndrome,Disease or Syndrome
C0268353,Cutis Laxa; X-Linked,Congenital Abnormality
C0036412,Scleral Diseases,Disease or Syndrome
C0025534,Metal Metabolism; Inborn Errors,Disease or Syndrome
C0038187,Starvation,Finding
C1510412,Pseudoaneurysm,Pathologic Function
C0004760,Dysbarism,Injury or Poisoning
C0008058,Chilblains,Disease or Syndrome
C0751843,Infarction; Anterior Cerebral Artery,Disease or Syndrome
C0027344,Nails; Malformed,Anatomical Abnormality
C0032298,Pneumonia; Lipid,Disease or Syndrome
C0032320,Pneumoperitoneum,Disease or Syndrome
C0032584,Polyps,Anatomical Abnormality
C1845862,Creatine Deficiency; X-Linked,Disease or Syndrome
C0017662,Glomerulonephritis; Membranoproliferative,Disease or Syndrome
C0018199,Granuloma; Plasma Cell,Pathologic Function
C0220654,Meningeal Carcinomatosis,Neoplastic Process
C0009363,Congenital Ocular Coloboma (Disorder),Congenital Abnormality
C0085109,Corneal Neovascularization,Disease or Syndrome
C0027888,Hereditary Motor And Sensory Neuropathies,Disease or Syndrome
C0026847,Spinal Muscular Atrophy,Disease or Syndrome
C0000735,Abdominal Neoplasms,Neoplastic Process
C1960100,Shellfish Poisoning,Injury or Poisoning
C0037933,Spinal Diseases,Disease or Syndrome
C0022360,Jaw Abnormalities,Congenital Abnormality
C0206676,Adenomatosis; Pulmonary,Neoplastic Process
C0005744,Blepharophimosis,Congenital Abnormality
C0238454,Cavernous Sinus Thrombosis,Disease or Syndrome
C0010074,Coronary Vessel Anomalies,Congenital Abnormality
C0010278,Craniosynostosis,Congenital Abnormality
C0281508,Desmoplastic Small Round Cell Tumor,Neoplastic Process
C0016508,Congenital Foot Deformity,Congenital Abnormality
C1135196,Heart Failure; Diastolic,Disease or Syndrome
C1135191,Heart Failure; Systolic,Disease or Syndrome
C0278601,Inflammatory Breast Carcinoma,Neoplastic Process
C0752332,Lupus Vasculitis; Central Nervous System,Disease or Syndrome
C0206083,Myelinolysis; Central Pontine,Disease or Syndrome
C0206639,Neoplasms; Bone Tissue,Neoplastic Process
C0034183,Pyelitis,Disease or Syndrome
C0240903,Rheumatoid Vasculitis,Disease or Syndrome
C0037023,Sialadenitis,Disease or Syndrome
C0403825,Globozoospermia,Finding
C0038833,Superior Vena Cava Syndrome,Disease or Syndrome
C0042580,Vesico-Ureteral Reflux,Disease or Syndrome
C0017567,Gingival Hypertrophy,Disease or Syndrome
C0037856,Spermatic Cord Torsion,Disease or Syndrome
C0042167,Uveitis; Posterior,Disease or Syndrome
C0022976,Lameness; Animal,Sign or Symptom
